,photo_name,code_folder,metadata,sentence
264,QD-2017-DSC101041.JPG,pc022,"[['pc022', 'Painted Chorten', 'Painted Chorten', '34.038752', '77.683867']]","This is a picture of a heritage site in Ladakh. The site is : Painted Chorten (code: pc022, type: Painted Chorten, coordinates : 34.038752°N 77.683867°E). More information: ladakharcheology.com"
265,QD-2017-DSC101042.JPG,pc022,"[['pc022', 'Painted Chorten', 'Painted Chorten', '34.038752', '77.683867']]","This is a picture of a heritage site in Ladakh. The site is : Painted Chorten (code: pc022, type: Painted Chorten, coordinates : 34.038752°N 77.683867°E). More information: ladakharcheology.com"
266,QD-2017-DSC101043.JPG,pc022,"[['pc022', 'Painted Chorten', 'Painted Chorten', '34.038752', '77.683867']]","This is a picture of a heritage site in Ladakh. The site is : Painted Chorten (code: pc022, type: Painted Chorten, coordinates : 34.038752°N 77.683867°E). More information: ladakharcheology.com"
267,QD-2017-DSC95345.JPG,t045,"[['t045', 'Temple Ruin 1', 'Temple Ruin', '34.039394', '77.684109']]","This is a picture of a heritage site in Ladakh. The site is : Temple Ruin 1 (code: t045, type: Temple Ruin, coordinates : 34.039394°N 77.684109°E). More information: ladakharcheology.com"
268,QD-2017-DSC95349.JPG,t045+t046+t047+t048+t049,"[['t045', 'Temple Ruin 1', 'Temple Ruin', '34.039394', '77.684109'], ['t046', 'Temple Ruin 2', 'Temple Ruin', '34.039114', '77.684382'], ['t047', 'Temple Ruin 3', 'Temple Ruin', '34.038895', '77.684785'], ['t048', 'Temple Ruin 4', 'Temple Ruin', '34.038763', '77.684847'], ['t049', 'Temple Ruin 5', 'Temple Ruin', '34.038496', '77.684463']]","This is a picture of 5 heritage sites in Ladakh. The sites are : Temple Ruin 1 (code: t045, type: Temple Ruin, coordinates : 34.039394°N 77.684109°E), Temple Ruin 2 (code: t046, type: Temple Ruin, coordinates : 34.039114°N 77.684382°E), Temple Ruin 3 (code: t047, type: Temple Ruin, coordinates : 34.038895°N 77.684785°E), Temple Ruin 4 (code: t048, type: Temple Ruin, coordinates : 34.038763°N 77.684847°E), Temple Ruin 5 (code: t049, type: Temple Ruin, coordinates : 34.038496°N 77.684463°E). More information: ladakharcheology.com"
269,QD-2017-DSC95350.JPG,t045,"[['t045', 'Temple Ruin 1', 'Temple Ruin', '34.039394', '77.684109']]","This is a picture of a heritage site in Ladakh. The site is : Temple Ruin 1 (code: t045, type: Temple Ruin, coordinates : 34.039394°N 77.684109°E). More information: ladakharcheology.com"
270,QD-2017-DSC95351.JPG,t046,"[['t046', 'Temple Ruin 2', 'Temple Ruin', '34.039114', '77.684382']]","This is a picture of a heritage site in Ladakh. The site is : Temple Ruin 2 (code: t046, type: Temple Ruin, coordinates : 34.039114°N 77.684382°E). More information: ladakharcheology.com"
271,QD-2017-DSC95352.JPG,pc022,"[['pc022', 'Painted Chorten', 'Painted Chorten', '34.038752', '77.683867']]","This is a picture of a heritage site in Ladakh. The site is : Painted Chorten (code: pc022, type: Painted Chorten, coordinates : 34.038752°N 77.683867°E). More information: ladakharcheology.com"
272,QD-2017-DSC95358.JPG,pc022,"[['pc022', 'Painted Chorten', 'Painted Chorten', '34.038752', '77.683867']]","This is a picture of a heritage site in Ladakh. The site is : Painted Chorten (code: pc022, type: Painted Chorten, coordinates : 34.038752°N 77.683867°E). More information: ladakharcheology.com"
273,QD-2017-DSC95359.JPG,t045,"[['t045', 'Temple Ruin 1', 'Temple Ruin', '34.039394', '77.684109']]","This is a picture of a heritage site in Ladakh. The site is : Temple Ruin 1 (code: t045, type: Temple Ruin, coordinates : 34.039394°N 77.684109°E). More information: ladakharcheology.com"
274,QD-2017-DSC95360.JPG,t046,"[['t046', 'Temple Ruin 2', 'Temple Ruin', '34.039114', '77.684382']]","This is a picture of a heritage site in Ladakh. The site is : Temple Ruin 2 (code: t046, type: Temple Ruin, coordinates : 34.039114°N 77.684382°E). More information: ladakharcheology.com"
275,QD-2017-DSC95361.JPG,t046,"[['t046', 'Temple Ruin 2', 'Temple Ruin', '34.039114', '77.684382']]","This is a picture of a heritage site in Ladakh. The site is : Temple Ruin 2 (code: t046, type: Temple Ruin, coordinates : 34.039114°N 77.684382°E). More information: ladakharcheology.com"
276,QD-2017-DSC95362.JPG,pc022,"[['pc022', 'Painted Chorten', 'Painted Chorten', '34.038752', '77.683867']]","This is a picture of a heritage site in Ladakh. The site is : Painted Chorten (code: pc022, type: Painted Chorten, coordinates : 34.038752°N 77.683867°E). More information: ladakharcheology.com"
277,QD-2017-DSC95378.JPG,t045+t046+t047+t048+t049,"[['t045', 'Temple Ruin 1', 'Temple Ruin', '34.039394', '77.684109'], ['t046', 'Temple Ruin 2', 'Temple Ruin', '34.039114', '77.684382'], ['t047', 'Temple Ruin 3', 'Temple Ruin', '34.038895', '77.684785'], ['t048', 'Temple Ruin 4', 'Temple Ruin', '34.038763', '77.684847'], ['t049', 'Temple Ruin 5', 'Temple Ruin', '34.038496', '77.684463']]","This is a picture of 5 heritage sites in Ladakh. The sites are : Temple Ruin 1 (code: t045, type: Temple Ruin, coordinates : 34.039394°N 77.684109°E), Temple Ruin 2 (code: t046, type: Temple Ruin, coordinates : 34.039114°N 77.684382°E), Temple Ruin 3 (code: t047, type: Temple Ruin, coordinates : 34.038895°N 77.684785°E), Temple Ruin 4 (code: t048, type: Temple Ruin, coordinates : 34.038763°N 77.684847°E), Temple Ruin 5 (code: t049, type: Temple Ruin, coordinates : 34.038496°N 77.684463°E). More information: ladakharcheology.com"
278,QD-2017-DSC95379.JPG,t045+t046+t047+t048+t049,"[['t045', 'Temple Ruin 1', 'Temple Ruin', '34.039394', '77.684109'], ['t046', 'Temple Ruin 2', 'Temple Ruin', '34.039114', '77.684382'], ['t047', 'Temple Ruin 3', 'Temple Ruin', '34.038895', '77.684785'], ['t048', 'Temple Ruin 4', 'Temple Ruin', '34.038763', '77.684847'], ['t049', 'Temple Ruin 5', 'Temple Ruin', '34.038496', '77.684463']]","This is a picture of 5 heritage sites in Ladakh. The sites are : Temple Ruin 1 (code: t045, type: Temple Ruin, coordinates : 34.039394°N 77.684109°E), Temple Ruin 2 (code: t046, type: Temple Ruin, coordinates : 34.039114°N 77.684382°E), Temple Ruin 3 (code: t047, type: Temple Ruin, coordinates : 34.038895°N 77.684785°E), Temple Ruin 4 (code: t048, type: Temple Ruin, coordinates : 34.038763°N 77.684847°E), Temple Ruin 5 (code: t049, type: Temple Ruin, coordinates : 34.038496°N 77.684463°E). More information: ladakharcheology.com"
279,QD-2017-DSC95393.JPG,t045+t046+t047+t048+t049,"[['t045', 'Temple Ruin 1', 'Temple Ruin', '34.039394', '77.684109'], ['t046', 'Temple Ruin 2', 'Temple Ruin', '34.039114', '77.684382'], ['t047', 'Temple Ruin 3', 'Temple Ruin', '34.038895', '77.684785'], ['t048', 'Temple Ruin 4', 'Temple Ruin', '34.038763', '77.684847'], ['t049', 'Temple Ruin 5', 'Temple Ruin', '34.038496', '77.684463']]","This is a picture of 5 heritage sites in Ladakh. The sites are : Temple Ruin 1 (code: t045, type: Temple Ruin, coordinates : 34.039394°N 77.684109°E), Temple Ruin 2 (code: t046, type: Temple Ruin, coordinates : 34.039114°N 77.684382°E), Temple Ruin 3 (code: t047, type: Temple Ruin, coordinates : 34.038895°N 77.684785°E), Temple Ruin 4 (code: t048, type: Temple Ruin, coordinates : 34.038763°N 77.684847°E), Temple Ruin 5 (code: t049, type: Temple Ruin, coordinates : 34.038496°N 77.684463°E). More information: ladakharcheology.com"
